chapter,chapter_description,block,block_description,code,code_description
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A04.7,Enterocolitis due to Clostridium difficile
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A04.8,Other specified bacterial intestinal infections
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A04.9,"Bacterial intestinal infection, unspecified"
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A05,"Other bacterial foodborne intoxications, not elsewhere classified"
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A05.0,Foodborne staphylococcal intoxication
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A05.1,Botulism
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A05.2,Foodborne Clostridium perfringens [Clostridium welchii] intoxication
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A05.3,Foodborne Vibrio parahaemolyticus intoxication
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A05.4,Foodborne Bacillus cereus intoxication
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A05.8,Other specified bacterial foodborne intoxications
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A05.9,"Bacterial foodborne intoxication, unspecified"
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A06,Amoebiasis
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A06.0,Acute amoebic dysentery
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A06.1,Chronic intestinal amoebiasis
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A06.2,Amoebic nondysenteric colitis
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A06.3,Amoeboma of intestine
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A06.4,Amoebic liver abscess
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A06.5,Amoebic lung abscess
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A06.6,Amoebic brain abscess
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A06.7,Cutaneous amoebiasis
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A06.8,Amoebic infection of other sites
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A06.9,"Amoebiasis, unspecified"
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A07,Other protozoal intestinal diseases
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A07.0,Balantidiasis
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A07.1,Giardiasis [lambliasis]
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A07.2,Cryptosporidiosis
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A07.3,Isosporiasis
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A07.8,Other specified protozoal intestinal diseases
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A07.9,"Protozoal intestinal disease, unspecified"
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A08,Viral and other specified intestinal infections
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A08.0,Rotaviral enteritis
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A08.1,Acute gastroenteropathy due to Norovirus
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A08.2,Adenoviral enteritis
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A08.3,Other viral enteritis
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A08.4,"Viral intestinal infection, unspecified"
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A08.5,Other specified intestinal infections
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A09,Other gastroenteritis and colitis of infectious and unspecified origin
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A09.0,Other and unspecified gastroenteritis and colitis of infectious origin
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A09.9,Gastroenteritis and colitis of unspecified origin
I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed"
I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A15.0,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture"
I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A15.1,"Tuberculosis of lung, confirmed by culture only"
I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A15.2,"Tuberculosis of lung, confirmed histologically"
I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A15.3,"Tuberculosis of lung, confirmed by unspecified means"
I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A15.4,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically"
I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A15.5,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically"
I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A15.6,"Tuberculous pleurisy, confirmed bacteriologically and histologically"
I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A15.7,"Primary respiratory tuberculosis, confirmed bacteriologically and histologically"
I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A15.8,"Other respiratory tuberculosis, confirmed bacteriologically and histologically"
I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A15.9,"Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically"
I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically"
I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A16.0,"Tuberculosis of lung, bacteriologically and histologically negative"
I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A16.1,"Tuberculosis of lung, bacteriological and histological examination not done"
I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A16.2,"Tuberculosis of lung, without mention of bacteriological or histological confirmation"
I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A16.3,"Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation"
I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A16.4,"Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation"
I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A16.5,"Tuberculous pleurisy, without mention of bacteriological or histological confirmation"
I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A16.7,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation
I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A16.8,"Other respiratory tuberculosis, without mention of bacteriological or histological confirmation"
I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A16.9,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"
I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A17,Tuberculosis of nervous system
I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A17.0,Tuberculous meningitis
I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A17.1,Meningeal tuberculoma
I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A17.8,Other tuberculosis of nervous system
I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A17.9,"Tuberculosis of nervous system, unspecified"
I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A18,Tuberculosis of other organs
I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A18.0,Tuberculosis of bones and joints
I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A18.1,Tuberculosis of genitourinary system
I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A18.2,Tuberculous peripheral lymphadenopathy
I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A18.3,"Tuberculosis of intestines, peritoneum and mesenteric glands"
I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A18.4,Tuberculosis of skin and subcutaneous tissue
I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A18.5,Tuberculosis of eye
I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A18.6,Tuberculosis of ear
I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A18.7,Tuberculosis of adrenal glands
I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A18.8,Tuberculosis of other specified organs
I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A19,Miliary tuberculosis
I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A19.0,Acute miliary tuberculosis of a single specified site
I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A19.1,Acute miliary tuberculosis of multiple sites
I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A19.2,"Acute miliary tuberculosis, unspecified"
I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A19.8,Other miliary tuberculosis
I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A19.9,"Miliary tuberculosis, unspecified"
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A20,Plague
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A20.0,Bubonic plague
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A20.1,Cellulocutaneous plague
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A20.2,Pneumonic plague
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A20.3,Plague meningitis
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A20.7,Septicaemic plague
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A20.8,Other forms of plague
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A20.9,"Plague, unspecified"
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A21,Tularaemia
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A21.0,Ulceroglandular tularaemia
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A21.1,Oculoglandular tularaemia
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A21.2,Pulmonary tularaemia
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A21.3,Gastrointestinal tularaemia
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A21.7,Generalized tularaemia
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A21.8,Other forms of tularaemia
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A21.9,"Tularaemia, unspecified"
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A22,Anthrax
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A22.0,Cutaneous anthrax
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A22.1,Pulmonary anthrax
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A22.2,Gastrointestinal anthrax
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A22.7,Anthrax sepsis
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A22.8,Other forms of anthrax
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A22.9,"Anthrax, unspecified"
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A23,Brucellosis
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A23.0,Brucellosis due to Brucella melitensis
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A23.1,Brucellosis due to Brucella abortus
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A23.2,Brucellosis due to Brucella suis
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A23.3,Brucellosis due to Brucella canis
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A23.8,Other brucellosis
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A23.9,"Brucellosis, unspecified"
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A24,Glanders and melioidosis
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A24.0,Glanders
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A24.1,Acute and fulminating melioidosis
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A24.2,Subacute and chronic melioidosis
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A24.3,Other melioidosis
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A24.4,"Melioidosis, unspecified"
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A25,Rat-bite fevers
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A25.0,Spirillosis
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A25.1,Streptobacillosis
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A25.9,"Rat-bite fever, unspecified"
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A26,Erysipeloid
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A26.0,Cutaneous erysipeloid
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A26.7,Erysipelothrix sepsis
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A26.8,Other forms of erysipeloid
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A26.9,"Erysipeloid, unspecified"
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A27,Leptospirosis
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A27.0,Leptospirosis icterohaemorrhagica
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A27.8,Other forms of leptospirosis
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A27.9,"Leptospirosis, unspecified"
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A28,"Other zoonotic bacterial diseases, not elsewhere classified"
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A28.0,Pasteurellosis
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A28.1,Cat-scratch disease
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A28.2,Extraintestinal yersiniosis
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A28.8,"Other specified zoonotic bacterial diseases, not elsewhere classified"
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A28.9,"Zoonotic bacterial disease, unspecified"
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A30,Leprosy [Hansen disease]
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A30.0,Indeterminate leprosy
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A30.1,Tuberculoid leprosy
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A30.2,Borderline tuberculoid leprosy
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A30.3,Borderline leprosy
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A30.4,Borderline lepromatous leprosy
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A30.5,Lepromatous leprosy
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A30.8,Other forms of leprosy
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A30.9,"Leprosy, unspecified"
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A31,Infection due to other mycobacteria
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A31.0,Pulmonary mycobacterial infection
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A31.1,Cutaneous mycobacterial infection
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A31.8,Other mycobacterial infections
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A31.9,"Mycobacterial infection, unspecified"
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A32,Listeriosis
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A32.0,Cutaneous listeriosis
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A32.1,Listerial meningitis and meningoencephalitis
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A32.7,Listerial sepsis
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A32.8,Other forms of listeriosis
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A32.9,"Listeriosis, unspecified"
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A33,Tetanus neonatorum
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A34,Obstetrical tetanus
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A35,Other tetanus
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A36,Diphtheria
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A36.0,Pharyngeal diphtheria
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A36.1,Nasopharyngeal diphtheria
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A36.2,Laryngeal diphtheria
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A36.3,Cutaneous diphtheria
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A36.8,Other diphtheria
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A36.9,"Diphtheria, unspecified"
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A37,Whooping cough
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A37.0,Whooping cough due to Bordetella pertussis
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A37.1,Whooping cough due to Bordetella parapertussis
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A37.8,Whooping cough due to other Bordetella species
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A37.9,"Whooping cough, unspecified"
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A38,Scarlet fever
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A39,Meningococcal infection
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A39.0,Meningococcal meningitis
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A39.1,Waterhouse-Friderichsen syndrome
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A39.2,Acute meningococcaemia
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A39.3,Chronic meningococcaemia
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A39.4,"Meningococcaemia, unspecified"
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A39.5,Meningococcal heart disease
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A39.8,Other meningococcal infections
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A39.9,"Meningococcal infection, unspecified"
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A40,Streptococcal sepsis
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A40.0,"Sepsis due to streptococcus, group A"
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A40.1,"Sepsis due to streptococcus, group B"
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A40.2,"Sepsis due to streptococcus, group D and enterococcus"
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A40.3,Sepsis due to Streptococcus pneumoniae
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A40.8,Other streptococcal sepsis
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A40.9,"Streptococcal sepsis, unspecified"
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A41,Other sepsis
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A41.0,Sepsis due to Staphylococcus aureus
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A41.1,Sepsis due to other specified staphylococcus
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A41.2,Sepsis due to unspecified staphylococcus
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A41.3,Sepsis due to Haemophilus influenzae
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A41.4,Sepsis due to anaerobes
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A41.5,Sepsis due to other Gram-negative organisms
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A41.8,Other specified sepsis
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A41.9,"Sepsis, unspecified"
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A42,Actinomycosis
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A42.0,Pulmonary actinomycosis
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A42.1,Abdominal actinomycosis
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A42.2,Cervicofacial actinomycosis
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A42.7,Actinomycotic sepsis
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A42.8,Other forms of actinomycosis
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A42.9,"Actinomycosis, unspecified"
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A43,Nocardiosis
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A43.0,Pulmonary nocardiosis
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A43.1,Cutaneous nocardiosis
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A43.8,Other forms of nocardiosis
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A43.9,"Nocardiosis, unspecified"
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A44,Bartonellosis
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A44.0,Systemic bartonellosis
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A44.1,Cutaneous and mucocutaneous bartonellosis
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A44.8,Other forms of bartonellosis
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A44.9,"Bartonellosis, unspecified"
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A46,Erysipelas
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A48,"Other bacterial diseases, not elsewhere classified"
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A48.0,Gas gangrene
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A48.1,Legionnaires disease
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A48.2,Nonpneumonic Legionnaires disease [Pontiac fever]
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A48.3,Toxic shock syndrome
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A48.4,Brazilian purpuric fever
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A48.8,Other specified bacterial diseases
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A49,Bacterial infection of unspecified site
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A49.0,"Staphylococcal infection, unspecified site"
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A49.1,"Streptococcal and enterococcal infection, unspecified site"
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A49.2,"Haemophilus influenzae infection, unspecified site"
